Sample,Grid,Loc,ID,Beaker,Beaker_mass,DM_sample_mass,Post_Dry_wbeaker,Post_Ash_wbeaker,DM,Ash,Fibre_bag_mass,Fiber_sample_mass,Fibre_bag_sample_mass,Post_NDF_wbag,NDF_AI,Post_ADF_wbag,ADF_AI,Post_ADL_wbag,ADL_AI,CP_sample_mass,"CP_Tray,Loc",CP_AI,C_AI,NDF_F,ADF_F,ADL_F,CP_F,C_F
S_43_H,KL,C_16,P74,136,29.0158,2.2921,31.1263,29.1102,0.920771345,,0.5506,0.4653,1.0198,0.7543,0.437782076,0.6989,0.318719106,0.6216,0.152589727,0.1101,P3 A4,6.2601,55.9,47.54514554,34.61435976,16.57194567,6.798756318,60.7099692
S_43_L,KL,C_6,P72,106,28.7563,2.6048,31.179,28.8913,0.930090602,,0.5208,0.5294,,0.7718,0.474121647,,,,,0.104,P2 B2,5.045,62.8,50.97585613,,,5.424202749,67.52030379
S_43_M,KL,C_6,P81,99,29.687,2.5609,32.073,29.7944,0.931703698,,0.5538,0.6585,1.215,0.8852,0.503264996,,,0.7019,0.224905087,0.124,P1 D9,5.0109,65.1,54.01556282,,24.13912146,5.378211991,69.87199916
S_45_H,KL,C_2,P128,166,28.852,2.3358,31.0198,28.9446,0.928076034,,0.5384,0.5287,1.0698,0.7867,0.469642519,0.7209,0.345186306,0.6288,0.170985436,0.1102,P2 D2,5.654,56.6,50.60388397,37.19375282,18.42364523,6.092173263,60.98638251
S_45_L,KL,C_2,P53,31,23.3611,2.1903,25.3905,23.4458,0.926539743,,0.562,0.5478,1.1124,0.8369,0.501825484,0.7756,0.38992333,0.6783,0.21230376,0.1063,P3 B7,6.0283,57.6,54.16124751,42.08382128,22.91361617,6.506250857,62.16678821
S_45_M,KL,C_2,P116,165,28.6221,2.8922,31.2958,28.7242,0.924451974,,0.5698,0.5013,1.0721,0.8055,0.470177538,0.7473,0.354079394,0.6526,0.165170557,0.1024,P2 C10,6.2224,64.2,50.86013676,38.3015455,17.86686179,6.730906714,69.44654973
S_5_H,JO,Q_10,P115,138,28.939,3.0585,31.7903,29.0622,0.932254373,,0.5516,0.6431,1.1962,0.8696,0.494479863,0.7991,0.38485461,0.6753,0.192349557,0.1058,P3 A2,5.5315,58.7,53.04130262,41.2821459,20.63273312,5.933466401,62.96564725
S_5_L,JO,Q_10,P117,45,23.1616,2.0914,25.1039,23.3043,0.928708042,,0.5736,0.5699,1.1449,0.8084,0.412002106,0.7504,0.310229865,0.66,0.151605545,0.126,P3 A9,4.8902,58.4,44.36293074,33.40445551,16.3243493,5.265594543,62.88305617
S_5_M,JO,Q_10,P94,4,23.1413,1.9841,24.9835,23.2181,0.928481427,,0.5566,0.5419,1.0997,0.82,0.48606754,0.7662,0.38678723,0.6649,0.199852371,0.0984,P2 B8,5.2037,64,52.35080916,41.65804708,21.52464933,5.604527831,68.9297579
S_7_H,JO,Q_14,P108,123,28.5305,2.9033,31.2321,28.631,0.930527331,,0.5232,0.5757,1.0998,0.7649,0.419836721,0.7014,0.309536217,0.6017,0.136355741,0.1103,P1 D6,5.9681,64.5,45.11815038,33.26460239,14.6535987,6.41367513,69.31553524
S_7_L,JO,Q_14,P127,28,23.1984,2.4004,25.4324,23.3401,0.93067822,,0.5688,0.4824,1.0525,0.8041,0.487769486,0.7546,0.385157546,0.6646,0.198590381,0.1478,P3 B4,4.6038,57.9,52.41011074,41.38460933,21.33824313,4.946715094,62.21269472
S_7_M,JO,Q_14,P122,108,29.0041,2.6509,31.4719,29.1197,0.930929118,,0.5259,0.4985,1.0259,0.7609,0.471414243,0.7109,0.37111334,0.6195,0.18776329,0.1328,P1 D3,4.6726,66.1,50.63911241,39.86483317,20.16945073,5.019286547,71.00433179
S_9_H,JO,Q_18,P134,97,31.7461,2.9059,34.4602,31.8641,0.933996352,,0.5344,0.5744,1.1106,0.8211,0.499129526,0.759,0.391016713,0.6485,0.198642061,0.0944,P1 E1,4.9553,62.5,53.44020084,41.86490795,21.26796971,5.305481106,66.91674957
S_9_M,JO,Q_18,P85,95,30.4198,2.4393,32.671,30.5315,0.922887714,,0.5287,0.6038,1.1342,0.7778,0.412553826,0.7194,0.315833057,0.6149,0.142762504,0.139,P1 D8,4.6702,57.5,44.7024941,34.22226265,15.46910876,5.060420602,62.30443763
W_10_H,JO,Q_18,P30,111,28.8653,2.4266,31.1222,28.9368,0.93006676,,0.5354,0.6442,1.2842,0.8798,0.534616579,0.8207,0.442874884,0.6668,0.203973921,0.117,P1 D1,5.0772,65.9,57.48152731,47.617537,21.93110537,5.458962967,70.85512872
W_10_L,JO,Q_18,P26,24,24.266,2.2084,26.3421,24.3312,0.940092375,,0.5489,0.5811,1.1339,0.8445,0.508690415,0.7932,0.420409568,0.6553,0.183101015,0.1269,P3 C9,7.947,54.7,54.11068407,44.72002746,19.4769174,8.453424594,58.1857714
W_10_M,JO,Q_18,P67,153,28.7391,3.1135,31.6564,28.8457,0.936984101,,0.563,0.8429,1.4091,0.991,0.507770791,0.7754,0.251987187,0.7447,0.21556531,0.1137,P2 D9,5.6983,58.3,54.19203917,26.89343252,23.00629327,6.081533284,62.22090632
W_12_H,JO,B_2,P4,23,24.3937,2.0363,26.2999,24.4557,0.936109611,,0.5298,0.6525,1.1853,0.8346,0.467126437,0.789,0.397241379,0.6723,0.218390805,0.1687,P3 C3,6.0434,59.6,49.90082694,42.4353489,23.3296189,6.455867915,63.66775784
W_12_L,JO,B_2,P9,12A,28.6957,2.232,30.7917,28.7477,0.9390681,,0.5449,0.6137,1.1637,0.8662,0.523545706,0.8103,0.432458856,0.6621,0.190972788,0.1021,P2 D4,6.1926,56.5,55.75162293,46.05191636,20.33641521,6.594409924,60.16603053
